Sample:

Comments:

Date: 
13.05.2026
Time: 
14:58:41
Settings at:


Variable1:
 VIN   -Ch1 
 Linear sweep
 Start      -1.0000V
 Stop        1.0000V
 Step         .0100V

Constants:
 VOUT  -Ch2   .0000V
 IINS  -Ch3   .000 A
 IOUTS -Ch4   .000 A


VIN   -Ch1 IIN   -Ch1 IOUT  -Ch2 VINS  -Ch3 VOUTS -Ch4 
  - .6800V   -100.0mA    100.0mA   - .2670V   - .1640V
  - .6700V   -100.0mA    100.0mA   - .2680V   - .1640V
  - .6600V   -100.0mA    100.0mA   - .2670V   - .1640V
  - .6500V   -100.0mA    100.0mA   - .2670V   - .1640V
  - .6400V   -100.0mA    100.0mA   - .2670V   - .1640V
  - .6300V   -100.0mA    100.0mA   - .2670V   - .1640V
  - .6200V   -100.0mA    100.0mA   - .2670V   - .1640V
  - .6100V   -100.0mA    100.0mA   - .2670V   - .1630V
  - .6000V   -100.0mA    100.0mA   - .2670V   - .1640V
  - .5900V   -100.0mA    100.0mA   - .2670V   - .1630V
  - .5800V   -100.0mA    100.0mA   - .2670V   - .1640V
  - .5700V   -100.0mA    100.0mA   - .2680V   - .1640V
  - .5600V   -100.0mA    100.0mA   - .2670V   - .1640V
  - .5500V   -100.0mA    100.0mA   - .2670V   - .1640V
  - .5400V   -100.0mA    100.0mA   - .2670V   - .1640V
  - .5300V   -100.0mA    100.0mA   - .2670V   - .1640V
  - .5200V   -100.0mA    100.0mA   - .2680V   - .1640V
  - .5100V   -98.58mA    98.66mA   - .2640V   - .1610V
  - .5000V   -97.07mA    97.11mA   - .2600V   - .1590V
  - .4900V   -95.49mA    95.55mA   - .2550V   - .1560V
  - .4800V   -93.91mA    93.97mA   - .2510V   - .1540V
  - .4700V   -92.00mA    92.03mA   - .2460V   - .1500V
  - .4600V   -90.20mA    90.24mA   - .2410V   - .1470V
  - .4500V   -88.42mA    88.44mA   - .2370V   - .1440V
  - .4400V   -86.62mA    86.62mA   - .2310V   - .1410V
  - .4300V   -84.80mA    84.81mA   - .2260V   - .1380V
  - .4200V   -82.97mA    82.97mA   - .2210V   - .1350V
  - .4100V   -81.15mA    81.13mA   - .2170V   - .1320V
  - .4000V   -79.28mA    79.30mA   - .2120V   - .1280V
  - .3900V   -77.42mA    77.45mA   - .2070V   - .1260V
  - .3800V   -75.16mA    75.18mA   - .2000V   - .1220V
  - .3700V   -73.29mA    73.31mA   - .1960V   - .1200V
  - .3600V   -71.42mA    71.45mA   - .1910V   - .1160V
  - .3500V   -69.55mA    69.56mA   - .1860V   - .1130V
  - .3400V   -67.65mA    67.67mA   - .1810V   - .1100V
  - .3300V   -65.75mA    65.78mA   - .1760V   - .1070V
  - .3200V   -63.85mA    63.87mA   - .1710V   - .1040V
  - .3100V   -61.94mA    61.97mA   - .1650V   - .1010V
  - .3000V   -60.03mA    60.05mA   - .1600V   - .0970V
  - .2900V   -58.12mA    58.13mA   - .1550V   - .0940V
  - .2800V   -56.18mA    56.20mA   - .1500V   - .0920V
  - .2700V   -54.23mA    54.27mA   - .1450V   - .0880V
  - .2600V   -52.30mA    52.31mA   - .1400V   - .0850V
  - .2500V   -50.33mA    50.36mA   - .1340V   - .0810V
  - .2400V   -48.38mA    48.40mA   - .1280V   - .0780V
  - .2300V   -46.41mA    46.43mA   - .1240V   - .0760V
  - .2200V   -44.43mA    44.45mA   - .1190V   - .0720V
  - .2100V   -42.46mA    42.47mA   - .1140V   - .0690V
  - .2000V   -40.46mA    40.48mA   - .1090V   - .0660V
  - .1900V   -38.48mA    38.50mA   - .1040V   - .0630V
  - .1800V   -36.49mA    36.50mA   - .0980V   - .0590V
  - .1700V   -34.48mA    34.49mA   - .0930V   - .0560V
  - .1600V   -32.47mA    32.47mA   - .0870V   - .0530V
  - .1500V   -30.46mA    30.47mA   - .0820V   - .0490V
  - .1400V   -28.45mA    28.44mA   - .0770V   - .0470V
  - .1300V   -26.41mA    26.42mA   - .0710V   - .0430V
  - .1200V   -24.37mA    24.39mA   - .0650V   - .0400V
  - .1100V   -22.35mA    22.36mA   - .0600V   - .0360V
  - .1000V   -20.31mA    20.32mA   - .0550V   - .0330V
  - .0900V   -18.28mA    18.28mA   - .0490V   - .0300V
  - .0800V   -16.24mA    16.24mA   - .0440V   - .0260V
  - .0700V   -14.20mA    14.20mA   - .0380V   - .0230V
  - .0600V   -12.15mA    12.16mA   - .0330V   - .0200V
  - .0500V   -10.09mA    10.08mA   - .0280V   - .0170V
  - .0400V   -8.036mA    8.035mA   - .0230V   - .0140V
  - .0300V   -5.998mA    5.988mA   - .0170V   - .0110V
  - .0200V   -3.952mA    3.957mA   - .0110V   - .0070V
  - .0100V   -1.904mA    1.902mA   - .0060V   - .0040V
  - .0000V    144.7uA   -143.3uA     .0000V     .0000V
    .0100V    2.190mA   -2.177mA     .0050V     .0030V
    .0200V    4.230mA   -4.226mA     .0100V     .0060V
    .0300V    6.265mA   -6.263mA     .0150V     .0090V
    .0400V    8.321mA   -8.312mA     .0220V     .0130V
    .0500V    10.36mA   -10.36mA     .0270V     .0160V
    .0600V    12.43mA   -12.41mA     .0320V     .0190V
    .0700V    14.47mA   -14.47mA     .0370V     .0230V
    .0800V    16.51mA   -16.51mA     .0430V     .0250V
    .0900V    18.54mA   -18.55mA     .0480V     .0290V
    .1000V    20.59mA   -20.58mA     .0540V     .0320V
    .1100V    22.60mA   -22.60mA     .0590V     .0350V
    .1200V    24.64mA   -24.62mA     .0650V     .0390V
    .1300V    26.66mA   -26.64mA     .0700V     .0420V
    .1400V    28.68mA   -28.67mA     .0760V     .0450V
    .1500V    30.68mA   -30.67mA     .0810V     .0490V
    .1600V    32.68mA   -32.68mA     .0860V     .0510V
    .1700V    34.69mA   -34.69mA     .0920V     .0550V
    .1800V    36.69mA   -36.67mA     .0970V     .0580V
    .1900V    38.68mA   -38.67mA     .1030V     .0610V
    .2000V    40.65mA   -40.66mA     .1080V     .0650V
    .2100V    42.64mA   -42.63mA     .1130V     .0670V
    .2200V    44.60mA   -44.59mA     .1180V     .0710V
    .2300V    46.57mA   -46.55mA     .1240V     .0740V
    .2400V    48.53mA   -48.51mA     .1290V     .0770V
    .2500V    50.48mA   -50.47mA     .1340V     .0800V
    .2600V    52.42mA   -52.42mA     .1390V     .0830V
    .2700V    54.35mA   -54.33mA     .1440V     .0870V
    .2800V    56.26mA   -56.26mA     .1500V     .0900V
    .2900V    58.18mA   -58.18mA     .1550V     .0930V
    .3000V    60.09mA   -60.08mA     .1600V     .0970V
    .3100V    61.99mA   -61.98mA     .1660V     .1000V
    .3200V    63.88mA   -63.86mA     .1700V     .1030V
    .3300V    65.76mA   -65.75mA     .1750V     .1060V
    .3400V    67.63mA   -67.63mA     .1800V     .1090V
    .3500V    69.48mA   -69.48mA     .1850V     .1120V
    .3600V    71.06mA   -71.06mA     .1900V     .1150V
    .3700V    72.91mA   -72.89mA     .1950V     .1170V
    .3800V    74.75mA   -74.74mA     .2000V     .1210V
    .3900V    76.56mA   -76.56mA     .2050V     .1240V
    .4000V    78.37mA   -78.35mA     .2090V     .1270V
    .4100V    80.12mA   -80.12mA     .2140V     .1300V
    .4200V    81.85mA   -81.84mA     .2190V     .1330V
    .4300V    83.53mA   -83.53mA     .2240V     .1360V
    .4400V    85.16mA   -85.13mA     .2280V     .1380V
    .4500V    86.76mA   -86.75mA     .2320V     .1410V
    .4600V    88.44mA   -88.44mA     .2370V     .1430V
    .4700V    90.17mA   -90.16mA     .2420V     .1460V
    .4800V    91.88mA   -91.87mA     .2470V     .1490V
    .4900V    93.59mA   -93.59mA     .2510V     .1520V
    .5000V    95.23mA   -95.22mA     .2560V     .1550V
    .5100V    97.00mA   -96.99mA     .2600V     .1580V
    .5200V    98.46mA   -98.45mA     .2640V     .1610V
    .5300V    99.86mA   -99.88mA     .2680V     .1630V
    .5400V    99.95mA   -99.95mA     .2680V     .1630V
    .5500V    99.95mA   -99.95mA     .2680V     .1630V
    .5600V    99.95mA   -99.96mA     .2680V     .1630V
    .5700V    61.10mA   -61.09mA     .1600V     .0980V
    .5800V    62.20mA   -62.20mA     .1640V     .1000V
    .5900V    63.33mA   -63.33mA     .1670V     .1010V
    .6000V    64.45mA   -64.44mA     .1690V     .1030V
    .6100V    65.57mA   -65.56mA     .1720V     .1060V
    .6200V    66.70mA   -66.70mA     .1760V     .1070V
    .6300V    67.83mA   -67.82mA     .1780V     .1090V
    .6400V    68.95mA   -68.94mA     .1810V     .1110V
    .6500V    70.09mA   -70.09mA     .1840V     .1130V
    .6600V    71.25mA   -71.25mA     .1880V     .1150V
    .6700V    72.41mA   -72.41mA     .1910V     .1170V
    .6800V    73.57mA   -73.57mA     .1940V     .1190V
    .6900V    74.73mA   -74.72mA     .1970V     .1210V
    .7000V    75.89mA   -75.89mA     .2000V     .1230V
    .7100V    77.05mA   -77.03mA     .2030V     .1250V
    .7200V    78.30mA   -78.30mA     .2060V     .1270V
    .7300V    99.95mA   -99.95mA     .2660V     .1640V
    .7400V    99.95mA   -99.95mA     .2670V     .1630V
    .7500V    99.95mA   -99.96mA     .2670V     .1630V
    .7600V    99.95mA   -99.95mA     .2660V     .1640V
    .7700V    99.95mA   -99.95mA     .2670V     .1640V
    .7800V    85.12mA   -85.14mA     .2240V     .1380V
    .7900V    86.33mA   -86.33mA     .2270V     .1400V
    .8000V    87.53mA   -87.52mA     .2310V     .1420V
    .8100V    88.73mA   -88.72mA     .2340V     .1440V
    .8200V    89.94mA   -89.94mA     .2380V     .1460V
    .8300V    91.14mA   -91.14mA     .2410V     .1480V
    .8400V    92.35mA   -92.35mA     .2440V     .1500V
    .8500V    93.57mA   -93.57mA     .2470V     .1530V
    .8600V    94.83mA   -94.82mA     .2510V     .1540V
    .8700V    96.13mA   -96.13mA     .2540V     .1570V
    .8800V    99.33mA   -99.30mA     .2570V     .1590V
    .8900V    98.32mA   -98.32mA     .2600V     .1610V
    .9000V    99.53mA   -99.54mA     .2630V     .1620V
    .9100V    99.95mA   -99.96mA     .2640V     .1640V
    .9200V    99.95mA   -99.95mA     .2640V     .1640V
    .9300V    99.95mA   -99.95mA     .2640V     .1640V
    .9400V    99.95mA   -99.95mA     .2640V     .1630V
    .9500V    99.95mA   -99.95mA     .2640V     .1640V
    .9600V    99.95mA   -99.95mA     .2640V     .1630V
    .9700V    99.95mA   -99.96mA     .2640V     .1630V
    .9800V    99.95mA   -99.96mA     .2640V     .1630V
    .9900V    99.95mA   -99.96mA     .2640V     .1630V
   1.0000V    99.95mA   -99.96mA     .2640V     .1630V

