Sample:

Comments:

Date: 
13.05.2026
Time: 
15:00:51
Settings at:


Variable1:
 VIN   -Ch1 
 Linear sweep
 Start      -1.0000V
 Stop        1.0000V
 Step         .0100V

Constants:
 VOUT  -Ch2   .0000V
 IINS  -Ch3   .000 A
 IOUTS -Ch4   .000 A


VIN   -Ch1 IIN   -Ch1 IOUT  -Ch2 VINS  -Ch3 VOUTS -Ch4 
    .8300V    99.95mA   -99.95mA     .3680V     .1950V
    .8400V    99.95mA   -99.96mA     .3690V     .1950V
    .8500V    99.95mA   -99.96mA     .3690V     .1950V
    .8600V    99.95mA   -99.95mA     .3680V     .1950V
    .8700V    99.95mA   -99.95mA     .3690V     .1950V
    .8800V    99.95mA   -99.95mA     .3690V     .1950V
    .8900V    99.95mA   -99.96mA     .3690V     .1950V
    .9000V    99.95mA   -99.96mA     .3690V     .1960V
    .9100V    99.95mA   -99.96mA     .3690V     .1960V
    .9200V    99.95mA   -99.96mA     .3690V     .1950V
    .9300V    99.95mA   -99.96mA     .3690V     .1950V
    .9400V    99.95mA   -99.96mA     .3690V     .1950V
    .9500V    99.95mA   -99.96mA     .3690V     .1950V
    .9600V    99.95mA   -99.96mA     .3690V     .1960V
    .9700V    99.95mA   -99.96mA     .3690V     .1960V
    .9800V    99.95mA   -99.96mA     .3690V     .1960V
    .9900V    99.95mA   -99.96mA     .3690V     .1950V
   1.0000V    99.95mA   -99.95mA     .3690V     .1960V

