	Raman shift	Intensity	Baseline	Corrected Intensity	intensity_norm	intensity_sub	linear_baseline	intensity_final	Curve 1	Curve 2	Curve 3	Fit Sum
356.0	1298.8	32045.0	20549.944502678773	11495.055497321227	0.4995367439173809	0.4891831498144595	-0.01031510833997138	0.4994982581544309	0.45405231909329996	9.118462568947187E-5	0.013280233581653518	0.46742373730064296
357.0	1302.07	32478.0	20559.182365088986	11918.817634911014	0.5179520319911446	0.5060580845286321	-0.011198760230420851	0.517256844759053	0.4850494280350222	1.1702698022465072E-4	0.013578471065159196	0.49874492608040605
358.0	1305.34	33065.0	20568.25440816671	12496.745591833289	0.5430668520011093	0.5310924964781978	-0.012082412120870328	0.5431749085990681	0.5175758678049568	1.4957778501132845E-4	0.013886814999083369	0.5316122605890515
359.0	1308.6	33605.8	20577.160985874456	13028.639014125547	0.566181164789322	0.556750303371945	-0.012963361711960629	0.5697136650839056	0.5514027497181293	1.9025985130265662E-4	0.01420473283788397	0.5657977424073158
360.0	1311.86	34192.1	20585.902464671464	13606.197535328534	0.5912799303560226	0.5819377851322883	-0.013844311303050937	0.5957820964353393	0.5864477692050375	2.4102096374498905E-4	0.014533632957370337	0.6012224231261528
361.0	1315.12	34778.2	20594.47922404561	14183.720775954385	0.6163771627465996	0.6082779455007414	-0.014725260894141237	0.6230032063948827	0.6224623589688868	3.040815671816819E-4	0.01487402412020531	0.6376404646562738
362.0	1318.39	35512.3	20602.891657090964	14909.408342909039	0.6479131222191165	0.6400195842687152	-0.01560891278459077	0.655628497053306	0.6592299067996666	3.823441374534061E-4	0.015227544842883946	0.674839795780004
363.0	1321.65	36357.3	20611.14017108529	15746.159828914711	0.6842755489063743	0.6770070220819354	-0.016489862375681077	0.6934968844576165	0.6961025857988642	4.784532355618778E-4	0.015592604522743655	0.7121736435571697
364.0	1324.9	37016.3	20619.225188215758	16397.074811784245	0.7125621414491817	0.705765681091154	-0.01736810966741221	0.7231337907585662	0.7325586390871754	5.958838106601268E-4	0.015969688532266355	0.7491242114301019
365.0	1328.16	37764.6	20627.147146415682	17137.452853584316	0.7447364999248691	0.7383956842953525	-0.018249059258502516	0.756644743553855	0.7681987658734468	7.396177148675487E-4	0.016361756261017615	0.785300139849332
