;Raman shift;Intensity;Baseline;Corrected Intensity;intensity_norm;intensity_sub;linear_baseline;intensity_final
429;1534.08;36589.1;20828.6708554981;15760.429144501897;0.6848956457339201;0.4305728383207715;-0.07389480766258708;0.5044676459833586
430;1537.26;36680.4;20827.739185220187;15852.660814779814;0.6889037262749345;0.4362565964983768;-0.07475413885880403;0.5110107353571808
431;1540.44;37072.7;20826.707409595165;16245.992590404832;0.7059966123876419;0.4544733183856103;-0.07561347005502098;0.5300867884406313
432;1543.61;37211.7;20825.576895036822;16386.123104963175;0.7120862168251545;0.47681951306841636;-0.07647009895187867;0.553289612020295
433;1546.79;37153.9;20824.349024204934;16329.550975795068;0.7096277809169769;0.48040918871188687;-0.07732943014809562;0.5577386188599824
434;1549.96;37388.8;20823.025196145398;16565.774803854605;0.7198932800206619;0.49922716219201;-0.0781860590449534;0.5774132212369634
435;1553.13;37553.0;20821.60682623366;16731.39317376634;0.7270905015789129;0.513436484118929;-0.07904268794181116;0.5924791720607401
436;1556.3;37818.2;20820.095346410937;16998.10465358906;0.7386808922670723;0.5392252593296821;-0.07989931683866888;0.619124576168351
437;1559.47;38217.1;20818.492205349838;17398.60779465016;0.7560854219851731;0.572292012643992;-0.08075594573552664;0.6530479583795186
438;1562.64;38679.3;20816.79886872107;17862.501131278932;0.7762446780199533;0.610715284373107;-0.08161257463238442;0.6923278590054913
439;1565.81;39264.1;20815.016819593937;18449.08318040606;0.8017355759916626;0.6437478343962598;-0.08246920352924211;0.726217037925502
440;1568.98;40074.4;20813.147558900233;19261.25244109977;0.8370297412169863;0.685719424902637;-0.0833258324260999;0.769045257328737
441;1572.14;40785.4;20811.19260602084;19974.207393979163;0.8680123837804901;0.7167147886413023;-0.0841797590235985;0.8008945476649009
442;1575.31;41769.2;20809.153499597902;20960.046500402095;0.9108536608290171;0.7653112966981515;-0.0850363879204562;0.8503476846186077
443;1578.47;42502.9;20807.03179824776;21695.86820175224;0.9428300159568245;0.7939526002880515;-0.08589031451795481;0.8798429148060063
444;1581.63;42944.3;20804.8290815468;22139.470918453204;0.9621075093752203;0.8148116495783169;-0.08674424111545342;0.9015558906937703
445;1584.79;43201.8;20802.54695076725;22399.253049232753;0.9733967736826241;0.8361365448763849;-0.08759816771295195;0.9237347125893368
446;1587.95;43110.8;20800.18702932081;22310.612970679194;0.9695447717299981;0.8439723494302594;-0.08845209431045056;0.93242444374071
447;1591.11;42941.9;20797.750963018443;22144.14903698156;0.9623108047919199;0.8463587670461122;-0.08930602090794909;0.9356647879540614
448;1594.27;42474.4;20795.240419981732;21679.15958001827;0.942103915026013;0.8286521794386382;-0.0901599475054477;0.9188121269440859
449;1597.42;41987.9;20792.65709047639;21195.24290952361;0.9210745117349567;0.8100779584209877;-0.09101117180358712;0.9010891302245748
450;1600.58;41576.4;20790.00268644728;20786.397313552723;0.9033074467717773;0.7887709165701586;-0.09186509840108567;0.8806360149712443
451;1603.73;40874.8;20787.278941034507;20087.521058965496;0.872936617444417;0.7589766966984957;-0.09271632269922508;0.8516930193977208
452;1606.88;40212.8;20784.48760816457;19428.312391835432;0.8442896090661619;0.726751364450577;-0.09356754699736453;0.8203189114479414
453;1610.03;39337.3;20781.630461851473;18555.66953814853;0.8063674633370602;0.6901802732602517;-0.09441877129550388;0.7845990445557556
454;1613.18;38536.4;20778.709295537537;17757.690704462464;0.7716899667049283;0.6579920827038093;-0.09526999559364333;0.7532620782974526
455;1616.33;37713.0;20775.725921220754;16937.274078779246;0.7360373985250718;0.6223060003178095;-0.09612121989178271;0.7184272202095922
456;1619.48;36915.4;20772.68216865679;16142.717831343212;0.7015086360675175;0.5833545897922375;-0.09697244418992212;0.6803270339821597
457;1622.63;35847.8;20769.579884538587;15078.220115461416;0.655249118397246;0.5460747803920384;-0.09782366848806157;0.6438984488801
458;1625.77;34634.7;20766.4209317018;13868.279068298198;0.6026691190077041;0.4966286899866323;-0.09867219048684175;0.5953008804734741
459;1628.92;33495.7;20763.207188060296;12732.492811939701;0.5533116393139652;0.45149772595956533;-0.0995234147849812;0.5510211407445466
460;1632.06;32246.8;20759.940545396235;11486.859454603764;0.4991805712574887;0.3932632753032079;-0.10037193678376138;0.4936352120869693
461;1635.2;31056.2;20756.62290822426;10299.57709177574;0.4475852426593921;0.35097982654630006;-0.10122045878254166;0.4522002853288417
462;1638.34;29889.4;20753.25619254588;9136.143807454122;0.39702631541014466;0.29768326040900794;-0.10206898078132184;0.3997522411903298
