	Raman shift	Intensity	Baseline	Corrected Intensity	Curve 1	Curve 2	Curve 3	Curve 4	Curve 5	Fit Sum
111.0	459.246	15364.1	12995.53141259329	2368.5685874067112	3.243949274239236E-193	5.698708388204732E-263	3.7594772170298986E-33	1.7137618372386098E-231	0.0	3.7594772170298986E-33
112.0	462.839	15351.3	13036.712548007723	2314.5874519922763	1.6631117667765213E-191	7.787910309858231E-261	7.025206236689334E-33	5.341573235468889E-230	0.0	7.025206236689334E-33
113.0	466.431	15399.7	13077.598579507046	2322.1014204929543	8.371129640792514E-190	1.041971818786818E-258	1.309415549841086E-32	1.6451254421735562E-228	0.0	1.309415549841086E-32
114.0	470.021	15357.1	13118.190228823607	2238.9097711763934	4.1323544071617606E-188	1.3630140358851905E-256	2.4339335708371402E-32	5.00186008970785E-227	0.0	2.4339335708371402E-32
115.0	473.609	15339.9	13158.488240910763	2181.4117590892365	2.000665350897203E-186	1.7432849724653224E-254	4.5118483173580305E-32	1.5013250013023134E-225	0.0	4.5118483173580305E-32
116.0	477.197	15338.4	13198.49338311096	2139.9066168890404	9.520510357823496E-185	2.185957594219868E-252	8.343822982548157E-32	4.457137418312915E-224	0.0	8.343822982548157E-32
117.0	480.781	15481.6	13238.206444580754	2243.3935554192467	4.434016594118064E-183	2.6729788464589613E-250	1.5383124454752326E-31	1.3038923804985446E-222	0.0	1.5383124454752326E-31
118.0	484.365	15525.8	13277.628235875756	2248.171764124243	2.0298314693048784E-181	3.2045994321588714E-248	2.8293791797734323E-31	3.772907972714064E-221	0.0	2.8293791797734323E-31
119.0	487.948	15437.8	13316.759589985502	2121.040410014497	9.124057315165807E-180	3.7618371755995533E-246	5.190766249784918E-31	1.0788315537836563E-219	0.0	5.190766249784918E-31
120.0	491.53	15513.2	13355.601362381232	2157.5986376187684	4.027055725245239E-178	4.323957590397445E-244	9.498748180786096E-31	3.0484424992184657E-218	0.0	9.498748180786096E-31
121.0	495.11	15542.4	13394.154429744583	2148.245570255416	1.7434483217645322E-176	4.860193663181721E-242	1.73350017939013E-30	8.504526922191212E-217	0.0	1.73350017939013E-30
122.0	498.689	15576.1	13432.419690333176	2143.6803096668245	7.41171650512132E-175	5.349337990246515E-240	3.1555734578610065E-30	2.344659862157831E-215	0.0	3.1555734578610065E-30
123.0	502.267	15659.9	13470.398063887082	2189.501936112918	3.094019516349856E-173	5.7653806537150755E-238	5.729681066114283E-30	6.388090275337166E-214	0.0	5.729681066114283E-30
124.0	505.841	15792.1	13508.090491583158	2284.0095084168424	1.2643829486044018E-171	6.061095679837527E-236	1.0372066808795555E-29	1.7152611108998876E-212	0.0	1.0372066808795555E-29
125.0	509.416	15793.6	13545.49793649328	2248.10206350672	5.084510887744785E-170	6.25617109386592E-234	1.873461311820146E-29	4.55997533069014E-211	0.0	1.873461311820146E-29
126.0	512.989	15826.3	13582.621384529406	2243.6786154705933	2.0058178753478062E-168	6.315592955801272E-232	3.374843752930798E-29	1.1969452567328551E-209	0.0	3.374843752930798E-29
127.0	516.561	15847.7	13619.461844084506	2228.2381559154946	7.77072660243888E-167	6.243661084813693E-230	6.064080569987547E-29	3.1050510893437114E-208	0.0	6.064080569987547E-29
128.0	520.131	15896.2	13656.020345988338	2240.179654011663	2.953413896191947E-165	6.037211595465232E-228	1.0866974445642215E-28	7.953457593342248E-207	0.0	1.0866974445642215E-28
129.0	523.701	15888.0	13692.297943353038	2195.702056646962	1.1034962489276836E-163	5.72433155545925E-226	1.9427973846178852E-28	2.015250220659198E-205	0.0	1.9427973846178852E-28
130.0	527.266	15900.1	13728.29571169253	2171.8042883074704	4.032872927647707E-162	5.288756658756172E-224	3.462344839717966E-28	5.02842067642725E-204	0.0	3.462344839717966E-28
131.0	530.833	15769.8	13764.014748477754	2005.7852515222457	1.4518888919829237E-160	4.8038906036068234E-222	6.15787829983981E-28	1.2434062472214836E-202	0.0	6.15787829983981E-28
132.0	534.398	15761.1	13799.456172897688	1961.6438271023126	5.128403097692259E-159	4.268225934644999E-220	1.0922685735629013E-27	3.0360645547385477E-201	0.0	1.0922685735629013E-27
133.0	537.961	15723.3	13834.621124199148	1888.6788758008515	1.777351390817843E-157	3.70963123615858E-218	1.932266617101351E-27	7.320375940688981E-200	0.0	1.932266617101351E-27
134.0	541.521	15608.9	13869.51076124538	1739.3892387546202	6.037959600871763E-156	3.1500448567276924E-216	3.4086040577271326E-27	1.741414438501398E-198	0.0	3.4086040577271326E-27
135.0	545.082	15614.7	13904.126261786409	1710.5737382135922	2.0186426294017873E-154	2.6265152599643073E-214	5.999786438392619E-27	4.101735988294338E-197	0.0	5.999786438392619E-27
136.0	548.642	15494.2	13938.468820966144	1555.7311790338572	6.628648291294534E-153	2.145069483155015E-212	1.053432810713814E-26	9.549034551385457E-196	0.0	1.053432810713814E-26
137.0	552.198	15370.7	13972.539651034225	1398.1603489657755	2.131692253929661E-151	1.709651449966784E-210	1.8441058051692476E-26	2.1914690402918185E-194	0.0	1.8441058051692476E-26
138.0	555.754	15312.8	14006.3399797976	1306.4600202023994	6.740093980777756E-150	1.336385342467283E-208	3.220683382472249E-26	4.975467619290153E-193	0.0	3.220683382472249E-26
139.0	559.309	15275.7	14039.871049044812	1235.8289509551887	2.093295835614106E-148	1.0232575382580364E-206	5.610812588952067E-26	1.1165438305906756E-191	0.0	5.610812588952067E-26
140.0	562.863	15222.6	14073.134113629	1149.465886371001	6.385937809723027E-147	7.674930410933132E-205	9.750342767389716E-26	2.476651506708399E-190	0.0	9.750342767389716E-26
